conceito_candidato,ocorrencias,esta_no_vocabulario
distinta da cor dos Atletas da Equipe Adversária,1,False
Quatro Oficiais de Equipe presentes na Quadra usam exatamente o mesmo Uniforme,1,False
"está vigente, então um Atleta usa Número Visível",1,False
no mínimo 1,1,False
no máximo 99,1,False
"está vigente, então um Número Visível possui_contraste REGULAMENTAR com a Regata",1,False
"está vigente, então o Regulamento de Uniformes dos Atletas integra as Regras de Jogo",1,False
Atleta joga descalço,1,False
Meia Esportiva de Tecido,1,False
Bandagem de Suporte,1,False
Calçado Sintético,1,False
Calçado de Borracha,1,False
"está vigente, então um Atleta não_pode_usar Meia de Areia",1,False
"o REGIME_2026_07_01 está vigente, então uma Meia Esportiva de Tecido",1,False
CURTO,1,False
Objeto Perigoso,1,False
Proteção de Cabeça,1,False
Máscara Facial,1,False
Pulseira,1,False
Relógio,1,False
Anel,1,False
Colar,1,False
Corrente,1,False
Brinco,1,False
Óculos sem Faixa de Retenção,1,False
Óculos com Armação Rígida,1,False
Auxílio Ortopédico com parte de plástico rígido,1,False
Auxílio Ortopédico com parte de metal,1,False
Boné,1,False
Chapéu,1,False
Faixa de Cabeça,1,False
Bandana,1,False
Óculos de Sol de Plástico com Faixa de Retenção,1,False
Suporte Terapêutico de Joelho,1,False
Suporte Terapêutico de Cotovelo,1,False
Suporte Terapêutico de Pé,1,False
Acessório de Cabeça dos Atletas da mesma Equipe,1,False
Acessório de Cabeça dos Oficiais da mesma Equipe,1,False
sobre o próprio Acessório,1,False
Atleta com Acessório irregular,1,False
da Partida até a correção da irregularidade,1,False
Máscara Facial cobre a maior parte do rosto,1,False
Protetor Nasal cobre somente a área do nariz,1,False
Protetor Nasal,1,False
"Sangramento, então o Atleta deve_sair_da Quadra de Jogo imediatamente",1,False
"Sangue no Corpo, então o Atleta deve_sair_da Quadra de Jogo imediatamente",1,False
"Sangue no Uniforme, então o Atleta deve_sair_da Quadra de Jogo imediatamente",1,False
Atleta com Sangramento usa Substituição Normal para sair da Quadra de Jogo,1,False
Atleta com Sangramento,1,False
antes da interrupção do Sangramento,1,False
Atleta com Ferida,1,False
antes da cobertura da Ferida,1,False
Atleta com Sangue no Corpo,1,False
antes da limpeza do Corpo,1,False
Atleta com Sangue no Uniforme,1,False
antes da limpeza do Uniforme,1,False
"um Atleta descumpre instrução dos Árbitros sobre Sangramento, então o Atleta comete Conduta Antidesportiva",1,False
Partida a qualquer momento,1,False
Partida repetidamente,1,False
a Mesa antes da entrada,1,False
Quadra de Jogo após a saída do Atleta substituído,1,False
Substituição de Goleiro obedece aos requisitos gerais de Substituição,1,False
Substituição durante Tempo Técnico obedece aos requisitos gerais de Substituição,1,False
Substituição durante Tempo Técnico de Equipe,1,False
aos requisitos gerais de Substituição,1,False
"uma Substituição Irregular exige interrupção da Partida, então a Partida",1,False
Tiro Livre ou Tiro de 6 Metros para a Equipe Adversária,1,False
"uma Substituição Irregular não exige interrupção da Partida, então a Partida",1,False
Atleta culpado por Substituição Irregular recebe Suspensão,1,False
um Atleta adicional,1,False
"Quadra de Jogo sem Substituição, então o Atleta recebe Suspensão",1,False
"um Atleta interfere ilegalmente na Partida a partir da Área de Substituição, então o Atleta recebe Suspensão",1,False
